Order Date,Sales,Quantity,Customer ID,Region,Product ID,Category,Discount,Discount value,Year
2014-06-09,48.86,7,BH-11710,West,FUR-FU-10001487,Furniture,0.0,0.0,2014
2014-06-09,7.28,4,BH-11710,West,OFF-AR-10002833,Office Supplies,0.0,0.0,2014
2014-06-09,907.152,6,BH-11710,West,TEC-PH-10002275,Technology,0.2,-181.4304,2014
2014-06-09,18.504,3,BH-11710,West,OFF-BI-10003910,Office Supplies,0.2,-3.700800000000001,2014
2014-06-09,114.9,5,BH-11710,West,OFF-AP-10002892,Office Supplies,0.0,0.0,2014
2014-06-09,1706.184,9,BH-11710,West,FUR-TA-10001539,Furniture,0.2,-341.2368,2014
2014-06-09,911.424,4,BH-11710,West,TEC-PH-10002033,Technology,0.2,-182.2848,2014
2014-11-11,665.88,6,PK-19075,Central,OFF-ST-10004186,Office Supplies,0.0,0.0,2014
2014-05-13,55.5,2,AG-10270,West,OFF-ST-10000107,Office Supplies,0.0,0.0,2014
2014-08-27,8.56,2,ZD-21925,West,OFF-AR-10003056,Office Supplies,0.0,0.0,2014
2014-08-27,213.48,3,ZD-21925,West,TEC-PH-10001949,Technology,0.2,-42.696,2014
2014-08-27,22.72,4,ZD-21925,West,OFF-BI-10002215,Office Supplies,0.2,-4.544,2014
2014-10-20,211.96,4,PO-18865,Central,OFF-ST-10001713,Office Supplies,0.0,0.0,2014
2014-12-05,1113.024,8,BS-11590,West,OFF-AR-10002671,Office Supplies,0.2,-222.6048,2014
2014-12-05,167.968,4,BS-11590,West,TEC-PH-10002726,Technology,0.2,-33.5936,2014
2014-11-26,19.3,5,JE-15745,Central,FUR-FU-10003194,Furniture,0.6,-11.58,2014
2014-10-12,14.9,5,DN-13690,West,OFF-AR-10002053,Office Supplies,0.0,0.0,2014
2014-10-12,21.39,1,DN-13690,West,OFF-ST-10002370,Office Supplies,0.0,0.0,2014
2014-08-25,40.096,14,RC-19960,East,OFF-FA-10000621,Office Supplies,0.2,-8.0192,2014
2014-08-25,4.72,2,RC-19960,East,OFF-EN-10002600,Office Supplies,0.2,-0.944,2014
2014-08-25,23.976,3,RC-19960,East,OFF-PA-10004965,Office Supplies,0.2,-4.7952,2014
2014-08-25,130.464,6,RC-19960,East,OFF-EN-10002504,Office Supplies,0.2,-26.0928,2014
2014-12-26,600.558,3,AD-10180,Central,FUR-CH-10004063,Furniture,0.3,-180.1674,2014
2014-09-20,617.7,6,PF-19165,Central,FUR-TA-10004534,Furniture,0.5,-308.85,2014
2014-10-22,93.888,4,MG-17680,East,FUR-FU-10000521,Furniture,0.2,-18.7776,2014
2014-03-01,457.568,2,DB-13060,West,FUR-CH-10004063,Furniture,0.2,-91.5136,2014
2014-09-08,9.936,3,BM-11140,Central,OFF-AR-10004441,Office Supplies,0.2,-1.9872,2014
