Order Date,Quantity,Sales,Customer ID
2014-01-03,2,16.448,1
2014-01-04,8,288.06,1
2014-01-05,3,19.536,1
2014-01-06,30,4407.1,3
2014-01-07,10,87.15799999999999,1
2014-01-09,5,40.544,1
2014-01-10,2,54.83,1
2014-01-11,2,9.94,1
2014-01-13,48,3553.795,4
2014-01-14,4,61.96,1
2014-01-15,5,149.95,1
2014-01-16,14,299.964,1
2014-01-18,4,64.864,1
2014-01-19,24,378.594,1
2014-01-20,58,2673.87,4
2014-01-21,3,25.248,1
2014-01-23,9,46.019999999999996,2
2014-01-26,38,1097.25,2
2014-01-27,8,426.67,1
2014-01-28,1,3.928,1
2014-01-30,4,240.5,1
2014-01-31,2,290.666,1
2014-02-01,6,468.9,1
2014-02-02,12,211.64600000000002,2
2014-02-03,5,97.11200000000001,1
2014-02-04,9,134.38400000000001,2
2014-02-06,12,330.512,2
2014-02-07,11,180.32,2
2014-02-08,2,14.56,1
2014-02-11,25,2043.4,2
2014-02-12,2,129.568,1
2014-02-14,10,576.726,2
2014-02-15,5,21.36,1
2014-02-16,5,9.04,1
2014-02-17,14,54.208,1
2014-02-18,7,37.784,2
2014-02-20,9,95.59,2
2014-02-21,5,8.85,1
2014-02-22,3,19.44,1
2014-02-23,6,11.364,1
2014-02-24,7,55.672,1
2014-02-27,4,19.456,1
2014-03-01,40,2203.151,5
2014-03-02,11,202.384,2
2014-03-03,35,1345.8919999999998,5
2014-03-04,8,370.452,2
2014-03-05,16,705.562,1
2014-03-07,27,1561.062,3
2014-03-10,9,741.956,2
2014-03-11,39,918.314,4
2014-03-14,38,2108.55,5
2014-03-15,14,370.78200000000004,1
2014-03-16,2,471.92,1
2014-03-17,82,3960.358,5
2014-03-18,48,28106.716,3
2014-03-19,23,590.762,1
2014-03-21,39,4109.816,4
2014-03-22,17,464.09299999999996,3
2014-03-23,11,945.064,2
2014-03-24,7,65.38,2
2014-03-25,21,459.146,2
2014-03-26,16,145.13,3
2014-03-28,11,1823.8039999999999,3
2014-03-29,3,890.841,1
2014-03-30,39,1170.3220000000001,6
2014-03-31,29,1959.552,5
2014-04-01,12,119.88799999999999,2
2014-04-02,29,1458.558,3
2014-04-03,7,233.45,1
2014-04-04,25,475.844,4
2014-04-05,54,5295.098000000001,5
2014-04-06,38,1650.69,5
